Time,CH 1 °C,Alm 1,Alm 2,Alm 3,Alm 4, ./S1L4.csv
09/22/2016 16:43:30,25.0,,,,, ./S1L4.csv
09/22/2016 16:53:30,24.5,,,,, ./S1L4.csv
09/22/2016 17:03:30,24.0,,,,, ./S1L4.csv
09/22/2016 17:13:30,24.0,,,,, ./S1L4.csv
09/22/2016 17:23:30,24.0,,,,, ./S1L4.csv
09/22/2016 17:33:30,23.5,,,,, ./S1L4.csv
09/22/2016 17:43:30,23.0,,,,, ./S1L4.csv
09/22/2016 17:53:30,23.0,,,,, ./S1L4.csv
09/22/2016 18:03:30,22.5,,,,, ./S1L4.csv
09/22/2016 18:13:30,22.5,,,,, ./S1L4.csv
09/22/2016 18:23:30,22.5,,,,, ./S1L4.csv
09/22/2016 18:33:30,22.0,,,,, ./S1L4.csv
09/22/2016 18:43:30,22.0,,,,, ./S1L4.csv
09/22/2016 18:53:30,22.0,,,,, ./S1L4.csv
09/22/2016 19:03:30,22.0,,,,, ./S1L4.csv
09/22/2016 19:13:30,22.0,,,,, ./S1L4.csv
09/22/2016 19:23:30,22.0,,,,, ./S1L4.csv
09/22/2016 19:33:30,21.5,,,,, ./S1L4.csv
09/22/2016 19:43:30,22.0,,,,, ./S1L4.csv
09/22/2016 19:53:30,22.0,,,,, ./S1L4.csv
09/22/2016 20:03:30,22.0,,,,, ./S1L4.csv
09/22/2016 20:13:30,22.0,,,,, ./S1L4.csv
09/22/2016 20:23:30,22.0,,,,, ./S1L4.csv
09/22/2016 20:33:30,21.5,,,,, ./S1L4.csv
09/22/2016 20:43:30,21.5,,,,, ./S1L4.csv
09/22/2016 20:53:30,21.5,,,,, ./S1L4.csv
09/22/2016 21:03:30,21.5,,,,, ./S1L4.csv
09/22/2016 21:13:30,21.5,,,,, ./S1L4.csv
09/22/2016 21:23:30,21.5,,,,, ./S1L4.csv
09/22/2016 21:33:30,21.5,,,,, ./S1L4.csv
09/22/2016 21:43:30,21.5,,,,, ./S1L4.csv
09/22/2016 21:53:30,21.5,,,,, ./S1L4.csv
09/22/2016 22:03:30,21.5,,,,, ./S1L4.csv
09/22/2016 22:13:30,21.5,,,,, ./S1L4.csv
09/22/2016 22:23:30,21.5,,,,, ./S1L4.csv
09/22/2016 22:33:30,21.5,,,,, ./S1L4.csv
09/22/2016 22:43:30,21.5,,,,, ./S1L4.csv
09/22/2016 22:53:30,21.5,,,,, ./S1L4.csv
09/22/2016 23:03:30,21.5,,,,, ./S1L4.csv
09/22/2016 23:13:30,21.5,,,,, ./S1L4.csv
09/22/2016 23:23:30,21.5,,,,, ./S1L4.csv
09/22/2016 23:33:30,21.5,,,,, ./S1L4.csv
09/22/2016 23:43:30,21.5,,,,, ./S1L4.csv
09/22/2016 23:53:30,21.5,,,,, ./S1L4.csv
09/23/2016 00:03:30,21.5,,,,, ./S1L4.csv
09/23/2016 00:13:30,21.5,,,,, ./S1L4.csv
