Time,CH 1 °C,Alm 1,Alm 2,Alm 3,Alm 4, ./R1L4.csv
09/22/2016 16:49:29,23.5,,,,, ./R1L4.csv
09/22/2016 16:59:29,24.0,,,,, ./R1L4.csv
09/22/2016 17:09:29,23.5,,,,, ./R1L4.csv
09/22/2016 17:19:29,23.5,,,,, ./R1L4.csv
09/22/2016 17:29:29,23.5,,,,, ./R1L4.csv
09/22/2016 17:39:29,23.0,,,,, ./R1L4.csv
09/22/2016 17:49:29,23.0,,,,, ./R1L4.csv
09/22/2016 17:59:29,22.5,,,,, ./R1L4.csv
09/22/2016 18:09:29,22.5,,,,, ./R1L4.csv
09/22/2016 18:19:29,22.5,,,,, ./R1L4.csv
09/22/2016 18:29:29,22.0,,,,, ./R1L4.csv
09/22/2016 18:39:29,22.0,,,,, ./R1L4.csv
09/22/2016 18:49:29,22.0,,,,, ./R1L4.csv
09/22/2016 18:59:29,22.0,,,,, ./R1L4.csv
09/22/2016 19:09:29,22.0,,,,, ./R1L4.csv
09/22/2016 19:19:29,21.5,,,,, ./R1L4.csv
09/22/2016 19:29:29,21.5,,,,, ./R1L4.csv
09/22/2016 19:39:29,21.5,,,,, ./R1L4.csv
09/22/2016 19:49:29,21.5,,,,, ./R1L4.csv
09/22/2016 19:59:29,21.5,,,,, ./R1L4.csv
09/22/2016 20:09:29,21.5,,,,, ./R1L4.csv
09/22/2016 20:19:29,21.5,,,,, ./R1L4.csv
09/22/2016 20:29:29,21.5,,,,, ./R1L4.csv
09/22/2016 20:39:29,21.5,,,,, ./R1L4.csv
09/22/2016 20:49:29,21.5,,,,, ./R1L4.csv
09/22/2016 20:59:29,21.5,,,,, ./R1L4.csv
09/22/2016 21:09:29,21.5,,,,, ./R1L4.csv
09/22/2016 21:19:29,21.5,,,,, ./R1L4.csv
09/22/2016 21:29:29,21.5,,,,, ./R1L4.csv
09/22/2016 21:39:29,21.5,,,,, ./R1L4.csv
09/22/2016 21:49:29,21.5,,,,, ./R1L4.csv
09/22/2016 21:59:29,21.5,,,,, ./R1L4.csv
09/22/2016 22:09:29,21.5,,,,, ./R1L4.csv
09/22/2016 22:19:29,21.5,,,,, ./R1L4.csv
09/22/2016 22:29:29,21.5,,,,, ./R1L4.csv
09/22/2016 22:39:29,21.5,,,,, ./R1L4.csv
09/22/2016 22:49:29,21.0,,,,, ./R1L4.csv
09/22/2016 22:59:29,21.0,,,,, ./R1L4.csv
09/22/2016 23:09:29,21.0,,,,, ./R1L4.csv
09/22/2016 23:19:29,21.0,,,,, ./R1L4.csv
09/22/2016 23:29:29,21.0,,,,, ./R1L4.csv
09/22/2016 23:39:29,21.0,,,,, ./R1L4.csv
09/22/2016 23:49:29,21.0,,,,, ./R1L4.csv
09/22/2016 23:59:29,21.0,,,,, ./R1L4.csv
