Time,CH 1 °C,Alm 1,Alm 2,Alm 3,Alm 4, ./R3L4.csv
07/31/2016 16:30:54,23.5,,,,, ./R3L4.csv
07/31/2016 16:40:54,24.0,,,,, ./R3L4.csv
07/31/2016 16:50:54,23.5,,,,, ./R3L4.csv
07/31/2016 17:00:54,23.0,,,,, ./R3L4.csv
07/31/2016 17:10:54,23.0,,,,, ./R3L4.csv
07/31/2016 17:20:54,22.5,,,,, ./R3L4.csv
07/31/2016 17:30:54,22.5,,,,, ./R3L4.csv
07/31/2016 17:40:54,22.5,,,,, ./R3L4.csv
07/31/2016 17:50:54,22.5,,,,, ./R3L4.csv
07/31/2016 18:00:54,27.0,,,,, ./R3L4.csv
07/31/2016 18:10:54,31.0,,,,, ./R3L4.csv
07/31/2016 18:20:54,31.0,,,,, ./R3L4.csv
07/31/2016 18:30:54,27.5,,,,, ./R3L4.csv
07/31/2016 18:40:54,26.5,,,,, ./R3L4.csv
07/31/2016 18:50:54,25.5,,,,, ./R3L4.csv
07/31/2016 19:00:54,25.5,,,,, ./R3L4.csv
07/31/2016 19:10:54,25.0,,,,, ./R3L4.csv
07/31/2016 19:20:54,25.0,,,,, ./R3L4.csv
07/31/2016 19:30:54,24.5,,,,, ./R3L4.csv
07/31/2016 19:40:54,24.0,,,,, ./R3L4.csv
07/31/2016 19:50:54,23.5,,,,, ./R3L4.csv
07/31/2016 20:00:54,23.5,,,,, ./R3L4.csv
07/31/2016 20:10:54,23.5,,,,, ./R3L4.csv
07/31/2016 20:20:54,23.0,,,,, ./R3L4.csv
07/31/2016 20:30:54,23.0,,,,, ./R3L4.csv
07/31/2016 20:40:54,23.0,,,,, ./R3L4.csv
07/31/2016 20:50:54,22.5,,,,, ./R3L4.csv
07/31/2016 21:00:54,22.5,,,,, ./R3L4.csv
07/31/2016 21:10:54,22.5,,,,, ./R3L4.csv
07/31/2016 21:20:54,22.5,,,,, ./R3L4.csv
07/31/2016 21:30:54,22.5,,,,, ./R3L4.csv
07/31/2016 21:40:54,22.5,,,,, ./R3L4.csv
07/31/2016 21:50:54,22.5,,,,, ./R3L4.csv
07/31/2016 22:00:54,22.5,,,,, ./R3L4.csv
07/31/2016 22:10:54,22.5,,,,, ./R3L4.csv
07/31/2016 22:20:54,22.5,,,,, ./R3L4.csv
07/31/2016 22:30:54,22.5,,,,, ./R3L4.csv
07/31/2016 22:40:54,22.5,,,,, ./R3L4.csv
07/31/2016 22:50:54,22.5,,,,, ./R3L4.csv
07/31/2016 23:00:54,22.5,,,,, ./R3L4.csv
07/31/2016 23:10:54,22.5,,,,, ./R3L4.csv
07/31/2016 23:20:54,22.5,,,,, ./R3L4.csv
07/31/2016 23:30:54,22.5,,,,, ./R3L4.csv
07/31/2016 23:40:54,22.5,,,,, ./R3L4.csv
07/31/2016 23:50:54,22.5,,,,, ./R3L4.csv
08/01/2016 00:00:54,22.5,,,,, ./R3L4.csv
08/01/2016 00:10:54,22.5,,,,, ./R3L4.csv
08/01/2016 00:20:54,22.5,,,,, ./R3L4.csv
08/01/2016 00:30:54,22.5,,,,, ./R3L4.csv
08/01/2016 00:40:54,22.5,,,,, ./R3L4.csv
